Date.1,year,month,day,"product1 country1, EXW"
2019-11-08,2019.0,11.0,8.0,990.7114
2019-11-07,2019.0,11.0,7.0,996.16416
2019-11-06,2019.0,11.0,6.0,993.38208
2019-11-05,2019.0,11.0,5.0,986.10908
2019-11-04,2019.0,11.0,4.0,980.31174
2019-11-01,2019.0,11.0,1.0,985.0767
2019-10-31,2019.0,10.0,31.0,982.1957
2019-10-30,2019.0,10.0,30.0,981.4989
2019-10-29,2019.0,10.0,29.0,981.1438
2019-10-28,2019.0,10.0,28.0,984.07488
2019-10-25,2019.0,10.0,25.0,983.6784
2019-10-24,2019.0,10.0,24.0,980.2192
2019-10-23,2019.0,10.0,23.0,979.643
2019-10-22,2019.0,10.0,22.0,971.52416
2019-10-21,2019.0,10.0,21.0,973.45194
2019-10-18,2019.0,10.0,18.0,978.8256
2019-10-17,2019.0,10.0,17.0,988.92576
2019-10-16,2019.0,10.0,16.0,990.9462
2019-10-15,2019.0,10.0,15.0,995.0912
2019-10-14,2019.0,10.0,14.0,992.344
2019-10-11,2019.0,10.0,11.0,982.59748
2019-10-10,2019.0,10.0,10.0,980.40048
2019-10-09,2019.0,10.0,9.0,990.14172
2019-10-08,2019.0,10.0,8.0,989.8476
2019-09-30,2019.0,9.0,30.0,987.6792
2019-09-27,2019.0,9.0,27.0,964.24672
2019-09-26,2019.0,9.0,26.0,970.5714
2019-09-25,2019.0,9.0,25.0,972.11448
2019-09-24,2019.0,9.0,24.0,969.58248
2019-09-23,2019.0,9.0,23.0,972.13992
2019-09-20,2019.0,9.0,20.0,974.25876
2019-09-19,2019.0,9.0,19.0,983.93312
2019-09-18,2019.0,9.0,18.0,986.48448
2019-09-17,2019.0,9.0,17.0,994.9416
2019-09-16,2019.0,9.0,16.0,993.5204
2019-09-12,2019.0,9.0,12.0,980.13176
2019-09-11,2019.0,9.0,11.0,986.31546
2019-09-10,2019.0,9.0,10.0,984.72216
2019-09-09,2019.0,9.0,9.0,983.00984
2019-09-06,2019.0,9.0,6.0,979.15664
2019-09-05,2019.0,9.0,5.0,977.66268
2019-09-04,2019.0,9.0,4.0,969.06912
2019-09-03,2019.0,9.0,3.0,967.717
2019-09-02,2019.0,9.0,2.0,963.6018
2019-08-30,2019.0,8.0,30.0,966.94416
2019-08-29,2019.0,8.0,29.0,965.5948
2019-08-28,2019.0,8.0,28.0,960.26936
2019-08-27,2019.0,8.0,27.0,970.8325
2019-08-26,2019.0,8.0,26.0,985.64624
2019-08-23,2019.0,8.0,23.0,999.10896
2019-08-22,2019.0,8.0,22.0,998.82112
2019-08-21,2019.0,8.0,21.0,1002.11856
2019-08-20,2019.0,8.0,20.0,1009.14816
2019-08-19,2019.0,8.0,19.0,1009.87056
2019-08-16,2019.0,8.0,16.0,1019.77084
2019-08-15,2019.0,8.0,15.0,1026.17024
2019-08-14,2019.0,8.0,14.0,1022.28936
2019-08-13,2019.0,8.0,13.0,1015.95384
2019-08-12,2019.0,8.0,12.0,1015.6693
2019-08-09,2019.0,8.0,9.0,1046.28738
2019-08-08,2019.0,8.0,8.0,1045.63764
2019-08-07,2019.0,8.0,7.0,1045.32872
2019-08-06,2019.0,8.0,6.0,1048.64664
2019-08-05,2019.0,8.0,5.0,1058.90656
2019-08-02,2019.0,8.0,2.0,1082.62624
2019-08-01,2019.0,8.0,1.0,1093.4053
2019-07-31,2019.0,7.0,31.0,1093.2228
2019-07-30,2019.0,7.0,30.0,1089.4008
2019-07-29,2019.0,7.0,29.0,1094.1718
2019-07-26,2019.0,7.0,26.0,1095.0551
2019-07-25,2019.0,7.0,25.0,1091.7304
2019-07-24,2019.0,7.0,24.0,1091.08976
2019-07-23,2019.0,7.0,23.0,1096.8888
2019-07-22,2019.0,7.0,22.0,1096.66188
2019-07-19,2019.0,7.0,19.0,1088.42976
2019-07-18,2019.0,7.0,18.0,1094.4638
2019-07-17,2019.0,7.0,17.0,1094.639
2019-07-16,2019.0,7.0,16.0,1094.566
2019-07-15,2019.0,7.0,15.0,1091.01696
2019-07-12,2019.0,7.0,12.0,1095.8216
2019-07-11,2019.0,7.0,11.0,1091.21352
2019-07-10,2019.0,7.0,10.0,1093.0841
2019-07-09,2019.0,7.0,9.0,1093.325
2019-07-08,2019.0,7.0,8.0,1083.24888
2019-07-05,2019.0,7.0,5.0,1098.15516
2019-07-04,2019.0,7.0,4.0,1096.65456
2019-07-03,2019.0,7.0,3.0,1101.46912
2019-07-02,2019.0,7.0,2.0,1113.4222
2019-07-01,2019.0,7.0,1.0,1110.6472
2019-06-28,2019.0,6.0,28.0,1085.63808
2019-06-27,2019.0,6.0,27.0,1085.10232
2019-06-26,2019.0,6.0,26.0,1079.5344
